sample_order,company_id,final_sample_id,ticker,symbol,company_name,security,_company_key,cik,gics_sector,gics_sub_industry,accession_number,primary_document,form,filing_date,report_date,report_year,filing_url,source_manifest,sample_group,batch_id,r2_object_key,universe_order
1,S2024-001,S2024-001,MMM,MMM,3M,3M,cik:0000066740,0000066740,Industrials,Industrial Conglomerates,0000066740-25-000006,mmm-20241231.htm,10-K,2025-02-05,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/66740/000006674025000006/mmm-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000066740/0000066740-25-000006.html,1
2,S2024-002,S2024-002,AOS,AOS,A. O. Smith,A. O. Smith,cik:0000091142,0000091142,Industrials,Building Products,0000091142-25-000036,aos-20241231.htm,10-K,2025-02-11,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/91142/000009114225000036/aos-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000091142/0000091142-25-000036.html,2
3,S2024-003,S2024-003,AES,AES,AES Corporation,AES Corporation,cik:0000874761,0000874761,Utilities,Independent Power Producers & Energy Traders,0000874761-25-000013,aes-20241231.htm,10-K,2025-03-11,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/874761/000087476125000013/aes-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000874761/0000874761-25-000013.html,3
4,S2024-004,S2024-004,APA,APA,APA Corporation,APA Corporation,cik:0001841666,0001841666,Energy,Oil & Gas Exploration & Production,0002040266-25-000007,apa-20241231.htm,10-K,2025-02-28,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1841666/000204026625000007/apa-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001841666/0002040266-25-000007.html,4
5,S2024-005,S2024-005,T,T,AT&T,AT&T,cik:0000732717,0000732717,Communication Services,Integrated Telecommunication Services,0000732717-25-000013,t-20241231.htm,10-K,2025-02-12,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/732717/000073271725000013/t-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000732717/0000732717-25-000013.html,5
6,S2024-006,S2024-006,ABBV,ABBV,AbbVie,AbbVie,cik:0001551152,0001551152,Health Care,Biotechnology,0001551152-25-000020,abbv-20241231.htm,10-K,2025-02-14,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000020/abbv-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001551152/0001551152-25-000020.html,6
7,S2024-007,S2024-007,ABT,ABT,Abbott Laboratories,Abbott Laboratories,cik:0000001800,0000001800,Health Care,Health Care Equipment,0001628280-25-007110,abt-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1800/000162828025007110/abt-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000001800/0001628280-25-007110.html,7
8,S2024-008,S2024-008,ACN,ACN,Accenture,Accenture,cik:0001467373,0001467373,Information Technology,IT Consulting & Other Services,0001467373-24-000278,acn-20240831.htm,10-K,2024-10-10,2024-08-31,2024,https://www.sec.gov/Archives/edgar/data/1467373/000146737324000278/acn-20240831.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001467373/0001467373-24-000278.html,8
9,S2024-009,S2024-009,ADBE,ADBE,Adobe Inc.,Adobe Inc.,cik:0000796343,0000796343,Information Technology,Application Software,0000796343-25-000004,adbe-20241129.htm,10-K,2025-01-13,2024-11-29,2024,https://www.sec.gov/Archives/edgar/data/796343/000079634325000004/adbe-20241129.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000796343/0000796343-25-000004.html,9
10,S2024-010,S2024-010,AMD,AMD,Advanced Micro Devices,Advanced Micro Devices,cik:0000002488,0000002488,Information Technology,Semiconductors,0000002488-25-000012,amd-20241228.htm,10-K,2025-02-05,2024-12-28,2024,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000002488/0000002488-25-000012.html,10
11,S2024-011,S2024-011,AFL,AFL,Aflac,Aflac,cik:0000004977,0000004977,Financials,Life & Health Insurance,0000004977-25-000047,afl-20241231.htm,10-K,2025-02-26,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/4977/000000497725000047/afl-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000004977/0000004977-25-000047.html,11
12,S2024-012,S2024-012,A,A,Agilent Technologies,Agilent Technologies,cik:0001090872,0001090872,Health Care,Life Sciences Tools & Services,0001090872-24-000049,a-20241031.htm,10-K,2024-12-20,2024-10-31,2024,https://www.sec.gov/Archives/edgar/data/1090872/000109087224000049/a-20241031.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001090872/0001090872-24-000049.html,12
13,S2024-013,S2024-013,APD,APD,Air Products,Air Products,cik:0000002969,0000002969,Materials,Industrial Gases,0000002969-24-000056,apd-20240930.htm,10-K,2024-11-21,2024-09-30,2024,https://www.sec.gov/Archives/edgar/data/2969/000000296924000056/apd-20240930.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000002969/0000002969-24-000056.html,13
14,S2024-014,S2024-014,ABNB,ABNB,Airbnb,Airbnb,cik:0001559720,0001559720,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720-25-000010,abnb-20241231.htm,10-K,2025-02-13,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/abnb-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001559720/0001559720-25-000010.html,14
15,S2024-015,S2024-015,AKAM,AKAM,Akamai Technologies,Akamai Technologies,cik:0001086222,0001086222,Information Technology,Internet Services & Infrastructure,0001086222-25-000028,akam-20241231.htm,10-K,2025-02-24,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1086222/000108622225000028/akam-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001086222/0001086222-25-000028.html,15
16,S2024-016,S2024-016,ALB,ALB,Albemarle Corporation,Albemarle Corporation,cik:0000915913,0000915913,Materials,Specialty Chemicals,0000915913-25-000026,alb-20241231.htm,10-K,2025-02-12,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/915913/000091591325000026/alb-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000915913/0000915913-25-000026.html,16
17,S2024-017,S2024-017,ARE,ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities,cik:0001035443,0001035443,Real Estate,Office REITs,0001035443-25-000067,are-20241231.htm,10-K,2025-01-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1035443/000103544325000067/are-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001035443/0001035443-25-000067.html,17
18,S2024-018,S2024-018,ALGN,ALGN,Align Technology,Align Technology,cik:0001097149,0001097149,Health Care,Health Care Supplies,0001097149-25-000012,algn-20241231.htm,10-K,2025-02-28,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000012/algn-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001097149/0001097149-25-000012.html,18
19,S2024-019,S2024-019,ALLE,ALLE,Allegion,Allegion,cik:0001579241,0001579241,Industrials,Building Products,0001579241-25-000008,alle-20241231.htm,10-K,2025-02-18,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1579241/000157924125000008/alle-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001579241/0001579241-25-000008.html,19
20,S2024-020,S2024-020,LNT,LNT,Alliant Energy,Alliant Energy,cik:0000352541,0000352541,Utilities,Electric Utilities,0000352541-25-000014,lnt-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/352541/000035254125000014/lnt-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000352541/0000352541-25-000014.html,20
21,S2024-021,S2024-021,ALL,ALL,Allstate,Allstate,cik:0000899051,0000899051,Financials,Property & Casualty Insurance,0000899051-25-000015,all-20241231.htm,10-K,2025-02-24,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/899051/000089905125000015/all-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000899051/0000899051-25-000015.html,21
22,S2024-022,S2024-022,GOOGL|GOOG,GOOGL|GOOG,Alphabet Inc. (Class A)|Alphabet Inc. (Class C),Alphabet Inc. (Class A)|Alphabet Inc. (Class C),cik:0001652044,0001652044,Communication Services,Interactive Media & Services,0001652044-25-000014,goog-20241231.htm,10-K,2025-02-05,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001652044/0001652044-25-000014.html,22
23,S2024-023,S2024-023,MO,MO,Altria,Altria,cik:0000764180,0000764180,Consumer Staples,Tobacco,0000764180-25-000019,mo-20241231.htm,10-K,2025-02-26,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/764180/000076418025000019/mo-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000764180/0000764180-25-000019.html,23
24,S2024-024,S2024-024,AMZN,AMZN,Amazon,Amazon,cik:0001018724,0001018724,Consumer Discretionary,Broadline Retail,0001018724-25-000004,amzn-20241231.htm,10-K,2025-02-07,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001018724/0001018724-25-000004.html,24
25,S2024-025,S2024-025,AMCR,AMCR,Amcor,Amcor,cik:0001748790,0001748790,Materials,Paper & Plastic Packaging Products & Materials,0001748790-24-000022,amcr-20240630.htm,10-K,2024-08-16,2024-06-30,2024,https://www.sec.gov/Archives/edgar/data/1748790/000174879024000022/amcr-20240630.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001748790/0001748790-24-000022.html,25
26,S2024-026,S2024-026,AEE,AEE,Ameren,Ameren,cik:0001002910,0001002910,Utilities,Multi-Utilities,0001002910-25-000055,aee-20241231.htm,10-K,2025-02-18,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1002910/000100291025000055/aee-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001002910/0001002910-25-000055.html,26
27,S2024-027,S2024-027,AEP,AEP,American Electric Power,American Electric Power,cik:0000004904,0000004904,Utilities,Electric Utilities,0000004904-25-000027,aep-20241231.htm,10-K,2025-02-13,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/4904/000000490425000027/aep-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000004904/0000004904-25-000027.html,27
28,S2024-028,S2024-028,AXP,AXP,American Express,American Express,cik:0000004962,0000004962,Financials,Consumer Finance,0000004962-25-000016,axp-20241231.htm,10-K,2025-02-07,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/4962/000000496225000016/axp-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000004962/0000004962-25-000016.html,28
29,S2024-029,S2024-029,AIG,AIG,American International Group,American International Group,cik:0000005272,0000005272,Financials,Multi-line Insurance,0000005272-25-000012,aig-20241231.htm,10-K,2025-02-13,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/5272/000000527225000012/aig-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000005272/0000005272-25-000012.html,29
30,S2024-030,S2024-030,AMT,AMT,American Tower,American Tower,cik:0001053507,0001053507,Real Estate,Telecom Tower REITs,0001053507-25-000025,amt-20241231.htm,10-K,2025-02-25,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000025/amt-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001053507/0001053507-25-000025.html,30
31,S2024-031,S2024-031,AWK,AWK,American Water Works,American Water Works,cik:0001410636,0001410636,Utilities,Water Utilities,0001410636-25-000022,awk-20241231.htm,10-K,2025-02-19,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1410636/000141063625000022/awk-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001410636/0001410636-25-000022.html,31
32,S2024-032,S2024-032,AMP,AMP,Ameriprise Financial,Ameriprise Financial,cik:0000820027,0000820027,Financials,Asset Management & Custody Banks,0000820027-25-000013,amp-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/820027/000082002725000013/amp-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000820027/0000820027-25-000013.html,32
33,S2024-033,S2024-033,AME,AME,Ametek,Ametek,cik:0001037868,0001037868,Industrials,Electrical Components & Equipment,0001037868-25-000012,ame-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1037868/000103786825000012/ame-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001037868/0001037868-25-000012.html,33
34,S2024-034,S2024-034,AMGN,AMGN,Amgen,Amgen,cik:0000318154,0000318154,Health Care,Biotechnology,0000318154-25-000010,amgn-20241231.htm,10-K,2025-02-14,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/318154/000031815425000010/amgn-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000318154/0000318154-25-000010.html,34
35,S2024-035,S2024-035,APH,APH,Amphenol,Amphenol,cik:0000820313,0000820313,Information Technology,Electronic Components,0001558370-25-000714,aph-20241231x10k.htm,10-K,2025-02-07,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/820313/000155837025000714/aph-20241231x10k.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000820313/0001558370-25-000714.html,35
36,S2024-036,S2024-036,ADI,ADI,Analog Devices,Analog Devices,cik:0000006281,0000006281,Information Technology,Semiconductors,0000006281-24-000204,adi-20241102.htm,10-K,2024-11-26,2024-11-02,2024,https://www.sec.gov/Archives/edgar/data/6281/000000628124000204/adi-20241102.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000006281/0000006281-24-000204.html,36
37,S2024-037,S2024-037,AON,AON,Aon plc,Aon plc,cik:0000315293,0000315293,Financials,Insurance Brokers,0001628280-25-006093,aon-20241231.htm,10-K,2025-02-18,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/315293/000162828025006093/aon-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000315293/0001628280-25-006093.html,38
38,S2024-038,S2024-038,APO,APO,Apollo Global Management,Apollo Global Management,cik:0001858681,0001858681,Financials,Asset Management & Custody Banks,0001858681-25-000034,apo-20241231.htm,10-K,2025-02-24,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1858681/000185868125000034/apo-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001858681/0001858681-25-000034.html,39
39,S2024-039,S2024-039,AAPL,AAPL,Apple Inc.,Apple Inc.,cik:0000320193,0000320193,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193-24-000123,aapl-20240928.htm,10-K,2024-11-01,2024-09-28,2024,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000320193/0000320193-24-000123.html,40
40,S2024-040,S2024-040,AMAT,AMAT,Applied Materials,Applied Materials,cik:0000006951,0000006951,Information Technology,Semiconductor Materials & Equipment,0000006951-24-000044,amat-20241027.htm,10-K,2024-12-13,2024-10-27,2024,https://www.sec.gov/Archives/edgar/data/6951/000000695124000044/amat-20241027.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000006951/0000006951-24-000044.html,41
41,S2024-041,S2024-041,APTV,APTV,Aptiv,Aptiv,cik:0001521332,0001521332,Consumer Discretionary,Automotive Parts & Equipment,0001521332-25-000010,aptv-20241231.htm,10-K,2025-02-07,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000010/aptv-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001521332/0001521332-25-000010.html,42
42,S2024-042,S2024-042,ACGL,ACGL,Arch Capital Group,Arch Capital Group,cik:0000947484,0000947484,Financials,Property & Casualty Insurance,0000947484-25-000017,acgl-20241231.htm,10-K,2025-02-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/947484/000094748425000017/acgl-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000947484/0000947484-25-000017.html,43
