report_year,firm_year_count,unique_company_count,ai_disclosure_count,ai_disclosure_rate,mean_ai_disclosure_all,mean_ai_disclosure_disclosers,mean_ai_sentence_count_all,mean_ai_sentence_count_disclosers,mean_whole_report_concreteness_all,mean_ai_concreteness_all,mean_ai_concreteness_disclosers,mean_past_tense_share_all,mean_present_tense_share_all,mean_future_tense_share_all,mean_lm_uncertainty_share_all,mean_passive_voice_sentence_share_all,mean_fog_index_all,mean_ai_lm_positive_share_all,mean_ai_lm_positive_share_disclosers,mean_ai_lm_negative_share_all,mean_ai_lm_negative_share_disclosers,mean_ai_lm_uncertainty_share_all,mean_ai_lm_uncertainty_share_disclosers,mean_report_word_count_all
2016,248,248,10,0.04032258064516129,0.04032258064516129,1.0,0.1774193548387097,4.4,2.922362552419355,3.08189497,3.0818949700000005,0.2607003947927841,0.7006236690102758,0.03867593619693997,0.016727092943548388,0.301924249446763,20.407606280403225,0.014571855,0.014571855,0.004542059,0.004542059,0.010036278,0.010036278,49799.93951612903
2017,311,311,33,0.10610932475884244,0.10610932475884244,1.0,0.4340836012861736,4.090909090909091,2.917254283022508,3.0573025687878794,3.0573025687878785,0.25824038163552027,0.702132557202036,0.039627061162443654,0.016813856913183278,0.3007325755552487,20.474688388745985,0.017009532424242427,0.017009532424242423,0.005751244545454545,0.005751244545454545,0.006373192727272728,0.006373192727272728,51152.81993569132
2018,384,384,64,0.16666666666666666,0.16666666666666666,1.0,0.6953125,4.171875,2.913220973125,2.993203204375,2.9932032043750003,0.259017223382968,0.7037846742080539,0.03719810240897797,0.016782775338541667,0.3002931648596825,20.569500382369792,0.022877350156249997,0.02287735015625,0.00579356984375,0.00579356984375,0.007056113437499999,0.007056113437499999,51611.635416666664
2019,441,441,99,0.22448979591836735,0.22448979591836735,1.0,0.9795918367346939,4.363636363636363,2.9084264399092965,3.001840639292929,3.0018406392929293,0.24984925351516787,0.7157679742040579,0.03438277228077424,0.01701409986394558,0.30375408237312823,20.56574815632653,0.020711427676767674,0.02071142767676768,0.009024504747474748,0.009024504747474748,0.008360618181818182,0.008360618181818182,51429.179138322
2020,446,446,123,0.2757847533632287,0.2757847533632287,1.0,1.3789237668161436,5.0,2.9040343928026906,2.9943537375609752,2.9943537375609757,0.24825860026182295,0.7181197356464725,0.03362166409170446,0.01706721571748879,0.2975994750109306,20.636855925852014,0.020005957479674794,0.0200059574796748,0.010114417723577237,0.010114417723577237,0.00975967569105691,0.00975967569105691,58001.64349775785
2021,462,462,144,0.3116883116883117,0.3116883116883117,1.0,1.5952380952380953,5.118055555555555,2.9030481245238096,2.9847157150694446,2.9847157150694446,0.23892981300125468,0.72786505666608,0.033205130332665214,0.017361497575757574,0.29609371706578824,20.690612027943722,0.0204567575,0.0204567575,0.010528111666666666,0.010528111666666666,0.009365471944444445,0.009365471944444445,56964.493506493505
2022,471,471,167,0.35456475583864117,0.35456475583864117,1.0,1.872611464968153,5.281437125748503,2.902210867983015,2.9506996165662653,2.9506996165662653,0.23314911759725182,0.7340804672846265,0.03277041511812162,0.01745230229299363,0.2961628214097758,20.75517585732484,0.019176629041916166,0.019176629041916166,0.012212874790419163,0.012212874790419163,0.012284190419161676,0.012284190419161676,58009.49681528663
2023,479,479,327,0.6826722338204593,0.6826722338204593,1.0,6.225469728601253,9.119266055045872,2.8987624537787053,2.7924809112844033,2.792480911284404,0.22306733868478426,0.7448144985729604,0.03211816274225521,0.0177683760125261,0.2951054179173315,20.831561455553235,0.015607392905198778,0.015607392905198778,0.02962390740061162,0.02962390740061162,0.025793060764525994,0.025793060764525994,58149.19832985386
2024,487,487,431,0.8850102669404517,0.8850102669404517,1.0,11.706365503080082,13.227378190255221,2.89629148412731,2.7411476831322505,2.7411476831322505,0.217387116806511,0.7503539683716886,0.032258914821800516,0.017990700123203286,0.2955604311664751,20.878191541540044,0.013328781160092808,0.013328781160092807,0.0357157935962877,0.0357157935962877,0.02955920800464037,0.02955920800464037,58819.90759753594
2025,484,484,468,0.9669421487603306,0.9669421487603306,1.0,17.892561983471076,18.504273504273506,2.8920207106404954,2.7356576442521368,2.7356576442521368,0.21414653606500653,0.7533904280103063,0.03246303592468708,0.01830171650826446,0.2949232708456318,20.88251637801653,0.013919404401709403,0.013919404401709403,0.03719279844017095,0.03719279844017095,0.029731935833333334,0.029731935833333334,59030.57231404959
